,worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,doc_index,doc_id,doc_fact_check_ground_truth_label,doc_fact_check_ground_truth_value,doc_fact_check_source,doc_speaker_name,doc_speaker_party,doc_statement_date,doc_statement_description,doc_statement_text,doc_evidence_url,doc_completeness_value,doc_completeness_label,doc_completeness_index,doc_completeness_description,doc_comprehensibility_value,doc_comprehensibility_label,doc_comprehensibility_index,doc_comprehensibility_description,doc_precision_value,doc_precision_label,doc_precision_index,doc_precision_description,doc_informativeness_value,doc_informativeness_label,doc_informativeness_index,doc_informativeness_description,doc_unbiasedness_value,doc_unbiasedness_label,doc_unbiasedness_index,doc_unbiasedness_description,doc_accuracy_value,doc_accuracy_label,doc_accuracy_index,doc_accuracy_description,doc_speaker's-trustworthiness_value,doc_speaker's-trustworthiness_label,doc_speaker's-trustworthiness_index,doc_speaker's-trustworthiness_description,doc_truthfulness_value,doc_truthfulness_label,doc_truthfulness_index,doc_truthfulness_description,doc_confidence_value,doc_confidence_label,doc_confidence_index,doc_confidence_description,doc_accesses,doc_time_elapsed,doc_time_start,doc_time_end,global_outcome,global_form_validity,gold_checks,time_spent_check,time_check_amount,quartile,mean
84,583ec287ad2f4300014b355a,True,FakeNewsMultidimensional,V4-Prolific-1,unit_70,1,1,Next,"Tue, 23 Aug 2022 11:03:18 GMT",2022-08-23 11:03:18 00:00,2.0,suozzi-calling-hochul-interim-governor-s-misleadin,pants-on-fire,0.0,Politifact,Tom Suozzi,DEM,2022-01-04,"stated on January 4, 2022 in a Tweet:",Hochul is an âinterim Governor.â,https://www.cnbc.com/2021/08/12/kathy-hochul-to-run-for-ny-governor-after-finishing-cuomos-term.html,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,5.0,true,5.0,,2.0,completely-agree,4.0,,1.0,26.17,1661252267.27,1661252293.43,True,True,True,True,True,wrong_false,3.2
94,58c1ce3c3783090001b49355,True,FakeNewsMultidimensional,V4-Prolific-1,unit_71,1,1,Next,"Tue, 23 Aug 2022 11:02:55 GMT",2022-08-23 11:02:55 00:00,4.0,common-core-testing-homosexual-possibly-can,pants-on-fire,0.0,Politifact,Charles Van Zant,REP,2022-05-16,"stated on March 22, 2014 in speech in March publicized May 16 by Think Progress:","A company hired to do Common Core testing in Florida will ""attract every one of your children to become as homosexual as they possibly can.""",https://news.yahoo.com/common-core-turn-kids-gay-003724717--politics.html,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,225.4,1661252130.17,1661252355.57,True,True,True,True,True,correct_false,0.7
99,58d069219dbe3f0001258793,True,FakeNewsMultidimensional,V4-Prolific-1,unit_119,1,1,Next,"Tue, 23 Aug 2022 11:43:45 GMT",2022-08-23 11:43:45 00:00,1.0,common-core-testing-homosexual-possibly-can,pants-on-fire,0.0,Politifact,Charles Van Zant,REP,2022-05-16,"stated on March 22, 2014 in speech in March publicized May 16 by Think Progress:","A company hired to do Common Core testing in Florida will ""attract every one of your children to become as homosexual as they possibly can.""",https://www.miaminewtimes.com/news/florida-rep-worried-common-core-testing-will-turn-your-kid-as-homosexual-as-they-possibly-can-6542086,-2.0,completely-disagree,0.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,85.46,1661254314.8,1661254400.26,True,True,True,True,True,correct_false,0.7
106,58d3dad59dbe3f0001258f66,True,FakeNewsMultidimensional,V4-Prolific-1,unit_62,1,1,Next,"Tue, 23 Aug 2022 14:10:25 GMT",2022-08-23 14:10:25 00:00,0.0,no-these-mass-shootings-werent-plot-protect-hillar,pants-on-fire,0.0,Politifact,Ted Nugent,REP,2022-06-14,"stated on June 14, 2022 in a Facebook post:",Three mass shootings were meant to distract from Hillary Clinton controversies.,https://www.ground.news/article/politifact-no-these-mass-shootings-werent-a-plot-to-protect-hillary-clinton-from-negative-news-coverage,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,-2.0,completely-disagree,0.0,,1.0,32.63,1661263465.0,1661263497.63,True,True,True,True,True,correct_false,0.8
119,58d9a79c33fef3000118abdf,True,FakeNewsMultidimensional,V4-Prolific-1,unit_42,1,1,Next,"Tue, 23 Aug 2022 09:02:48 GMT",2022-08-23 09:02:48 00:00,0.0,suozzi-calling-hochul-interim-governor-s-misleadin,pants-on-fire,0.0,Politifact,Tom Suozzi,DEM,2022-01-04,"stated on January 4, 2022 in a Tweet:",Hochul is an âinterim Governor.â,https://our.news/2022/01/10/politifact-suozzi-is-calling-hochul-an-interim-governor-thats-wrong/,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,1.0,false,1.0,,-1.0,partially-disagree,1.0,,1.0,34.64,1661244747.0,1661244781.64,True,True,True,True,True,wrong_false,3.2
125,58f0fca0d40252000192f201,True,FakeNewsMultidimensional,V4-Prolific-1,unit_146,1,1,Next,"Tue, 23 Aug 2022 14:42:53 GMT",2022-08-23 14:42:53 00:00,3.0,tax-shift-lou-greenwald-sets-truth-o-meter-ablaze-,pants-on-fire,0.0,Politifact,Lou Greenwald,DEM,2022-07-06,"stated on July 15, 2012 in an interview on 6abcâs âInside Storyâ:","Says raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift.""",https://www.cnbc.com/2021/09/14/millionaire-taxes-would-increase-11percent-in-2023-under-house-democrat-plan.html,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,3.0,half-true,3.0,,1.0,partially-agree,3.0,,1.0,155.78,1661265158.1,1661265313.88,True,True,True,True,True,wrong_false,3.5
135,5916bba1c40353000150c46c,True,FakeNewsMultidimensional,V4-Prolific-1,unit_65,1,1,Next,"Tue, 23 Aug 2022 10:37:38 GMT",2022-08-23 10:37:38 00:00,2.0,tax-shift-lou-greenwald-sets-truth-o-meter-ablaze-,pants-on-fire,0.0,Politifact,Lou Greenwald,DEM,2022-07-06,"stated on July 15, 2012 in an interview on 6abcâs âInside Storyâ:","Says raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift.""",https://www.nj.com/news/2012/07/politifact_nj_assemblyman_lou.html,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,5.0,true,5.0,,2.0,completely-agree,4.0,,1.0,34.67,1661249964.52,1661249999.19,True,True,True,True,True,wrong_false,3.5
141,5993020a5f49420001caf86b,True,FakeNewsMultidimensional,V4-Prolific-1,unit_182,1,1,Next,"Tue, 23 Aug 2022 13:29:16 GMT",2022-08-23 13:29:16 00:00,3.0,courts-have-repeatedly-upheld-grants-gableman-says,pants-on-fire,0.0,Politifact,Michael Gableman,REP,2022-03-07,"stated on March 7, 2022 in TV interview:","Five Wisconsin cities received money for the 2020 election from Mark Zuckerberg, which amounted to ""a wave of massive election bribery.""",https://www.nbc15.com/2022/03/02/breaking-down-zuckerberg-5-wisconsin-election-report-ctcl-derides-allegations/,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,3.0,half-true,3.0,,1.0,partially-agree,3.0,,1.0,174.08,1661260657.03,1661260831.11,True,True,True,True,True,other,2.2
151,599ec7dc617ca80001fcd124,True,FakeNewsMultidimensional,V4-Prolific-1,unit_89,1,1,Next,"Tue, 23 Aug 2022 11:11:06 GMT",2022-08-23 11:11:06 00:00,5.0,suozzi-calling-hochul-interim-governor-s-misleadin,pants-on-fire,0.0,Politifact,Tom Suozzi,DEM,2022-01-04,"stated on January 4, 2022 in a Tweet:",Hochul is an âinterim Governor.â,https://our.news/2022/01/10/politifact-suozzi-is-calling-hochul-an-interim-governor-thats-wrong/,0.0,neutral,2.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,1.0,false,1.0,,2.0,completely-agree,4.0,,1.0,115.76,1661252729.22,1661252844.98,True,True,True,True,True,wrong_false,3.2
152,59d0ec2446447f00011f0254,True,FakeNewsMultidimensional,V4-Prolific-1,unit_22,1,1,Next,"Mon, 22 Aug 2022 16:32:45 GMT",2022-08-22 16:32:45 00:00,6.0,greene-twists-logic-and-facts-pedophilia-charge-ag,pants-on-fire,0.0,Politifact,Marjorie Taylor Greene,REP,2022-04-04,"stated on April 4, 2022 in a tweet:","Says Sens. Lisa Murkowski, Susan Collins and Mitt Romney âare pro-pedophile.â",https://www.huffpost.com/entry/marjorie-taylor-greene-republicans-vile-tweet_n_624bf8e4e4b0d8266ab091dd,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,2.0,completely-agree,4.0,,-1.0,partially-disagree,1.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,71.25,1661185609.33,1661185680.58,True,True,True,True,True,correct_false,1.2
161,5a3bdd2c8d005a0001829f3e,True,FakeNewsMultidimensional,V4-Prolific-1,unit_59,1,1,Next,"Tue, 23 Aug 2022 14:21:47 GMT",2022-08-23 14:21:47 00:00,5.0,greene-twists-logic-and-facts-pedophilia-charge-ag,pants-on-fire,0.0,Politifact,Marjorie Taylor Greene,REP,2022-04-04,"stated on April 4, 2022 in a tweet:","Says Sens. Lisa Murkowski, Susan Collins and Mitt Romney âare pro-pedophile.â",https://hotair.com/allahpundit/2022/04/05/marjorie-taylor-greene-romney-collins-and-murkowski-are-pro-pedophile-n460249,0.0,neutral,2.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,55.03,1661264035.62,1661264090.64,True,True,True,True,True,correct_false,1.2
170,5a84f454ae9a0b0001a9e4e5,True,FakeNewsMultidimensional,V4-Prolific-1,unit_11,1,1,Next,"Tue, 23 Aug 2022 13:54:14 GMT",2022-08-23 13:54:14 00:00,0.0,bob-good-invents-position-ketanji-brown-jackson-la,pants-on-fire,0.0,Politifact,Bob Good,DEM,2022-03-22,"stated on March 22, 2022 in a radio interview.:",Ketanji Brown Jackson âbelieves in abortion on demand up to the moment of birth.â,https://heavy.com/news/ketanji-brown-jackson-abortion-roe-v-wade/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,0.0,neutral,2.0,,2.0,barely-true,2.0,,-1.0,partially-disagree,1.0,,1.0,16.5,1661262314.0,1661262330.5,True,True,True,True,True,other,1.6
178,5a8d8079190420000156435d,True,FakeNewsMultidimensional,V4-Prolific-1,unit_96,1,1,Next,"Tue, 23 Aug 2022 11:31:21 GMT",2022-08-23 11:31:21 00:00,0.0,bob-good-invents-position-ketanji-brown-jackson-la,pants-on-fire,0.0,Politifact,Bob Good,DEM,2022-03-22,"stated on March 22, 2022 in a radio interview.:",Ketanji Brown Jackson âbelieves in abortion on demand up to the moment of birth.â,https://apnews.com/article/abortion-ketanji-brown-jackson-us-supreme-court-business-health-7bbb8ee0b46e29e08b9e3d1f8e644d25,-2.0,completely-disagree,0.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,33.31,1661253617.0,1661253650.31,True,True,True,True,True,other,1.6
190,5b9fa85b4bca610001d791f3,True,FakeNewsMultidimensional,V4-Prolific-1,unit_69,1,1,Next,"Tue, 23 Aug 2022 11:10:18 GMT",2022-08-23 11:10:18 00:00,4.0,david-perdue-distorts-facts-georgia-agreement-abse,pants-on-fire,0.0,Politifact,David Perdue,REP,2022-04-24,"stated on April 24, 2022 in a debate:",A consent decree approved by Gov. Brian Kemp âinvalidated all voter ID lawâ and âallowed fraudulent ballots to be acceptedâ in the 2020 race.,https://www.breitbart.com/2020-election/2020/11/16/fact-check-trump-is-right-ap-wrong-about-georgia-signature-matching/,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,3.0,half-true,3.0,,2.0,completely-agree,4.0,,1.0,106.26,1661252668.7,1661252774.96,True,True,True,True,True,wrong_false,2.5
199,5c024be169406e00014e0b8e,True,FakeNewsMultidimensional,V4-Prolific-1,unit_51,1,1,Next,"Tue, 23 Aug 2022 09:56:23 GMT",2022-08-23 09:56:23 00:00,5.0,do-republicans-want-throw-doctors-who-break-aborti,pants-on-fire,0.0,Politifact,National Republican Senatorial Committee,REP,2022-05-03,"stated on May 3, 2022 in a memo to Republican senate candidates and lawmakers:",âRepublicans DO NOT want to throw doctorsâ in jail.,https://www.wral.com/fact-check-gop-group-says-republicans-don-t-want-to-throw-abortion-doctors-in-jail/20280486/,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,2.0,barely-true,2.0,,-1.0,partially-disagree,1.0,,1.0,100.25,1661248227.0,1661248327.25,True,True,True,True,True,other,2.0
200,5c0fcccc1f6f150001487111,True,FakeNewsMultidimensional,V4-Prolific-1,unit_115,1,1,Next,"Tue, 23 Aug 2022 14:33:26 GMT",2022-08-23 14:33:26 00:00,6.0,ohios-mandel-repeats-false-claim-stolen-2020-elect,pants-on-fire,0.0,Politifact,Josh Mandel,DEM,2022-07-14,"stated on February 25, 2022 in a speech at the 2022 CPAC meeting in Florida:",The 2020 election âwas stolen from Donald J. Trump.â,https://www.newsweek.com/josh-mandel-ohio-debate-trump-election-stolen-1642075,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,81.76,1661264969.96,1661265051.72,True,True,True,True,True,correct_false,1.1
211,5c8541b79c5a3000016b2597,True,FakeNewsMultidimensional,V4-Prolific-1,unit_167,1,1,Next,"Tue, 23 Aug 2022 13:03:23 GMT",2022-08-23 13:03:23 00:00,1.0,david-perdue-distorts-facts-georgia-agreement-abse,pants-on-fire,0.0,Politifact,David Perdue,REP,2022-04-24,"stated on April 24, 2022 in a debate:",A consent decree approved by Gov. Brian Kemp âinvalidated all voter ID lawâ and âallowed fraudulent ballots to be acceptedâ in the 2020 race.,https://news.ballotpedia.org/2022/04/28/heart-of-the-primaries-2022-republicans-issue-20-april-28-2022/,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,1.0,partially-agree,3.0,,1.0,62.07,1661259256.87,1661259318.94,True,True,True,True,True,wrong_false,2.5
218,5c8eb16ed169ac0001c27629,True,FakeNewsMultidimensional,V4-Prolific-1,unit_172,1,1,Next,"Tue, 23 Aug 2022 13:02:09 GMT",2022-08-23 13:02:09 00:00,0.0,bob-good-invents-position-ketanji-brown-jackson-la,pants-on-fire,0.0,Politifact,Bob Good,DEM,2022-03-22,"stated on March 22, 2022 in a radio interview.:",Ketanji Brown Jackson âbelieves in abortion on demand up to the moment of birth.â,https://www.lifenews.com/2022/03/29/factcheck-yes-ketanji-brown-jackson-would-uphold-roe-v-wade-and-abortion-on-demand/,-2.0,completely-disagree,0.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,34.12,1661259218.0,1661259252.12,True,True,True,True,True,other,1.6
